file,track_index,track_name,channel,instrument,all_program_changes,notes_count,lowest_note,highest_note,duration_ticks,tempos,signatures,keys,format,resolution,total_tracks,total_duration_ticks
"H400.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",83,53,63,5452,"80|80|80|80|80","6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4","",1,96,5,5452
"H400.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",81,46,58,5452,"80|80|80|80|80","6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4","",1,96,5,5452
"H366.mid",0,"",-1,,"",0,,,8160,"69","2/4|4/4|2/4|4/4","",1,240,5,11904
"H366.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",54,64,74,11904,"69","2/4|4/4|2/4|4/4","",1,240,5,11904
"H366.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",54,60,69,11904,"69","2/4|4/4|2/4|4/4","",1,240,5,11904
"H366.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",54,52,62,11904,"69","2/4|4/4|2/4|4/4","",1,240,5,11904
"H366.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",54,47,60,11904,"69","2/4|4/4|2/4|4/4","",1,240,5,11904
"H428.mid",0,"",-1,,"",0,,,0,"80","4/4","",1,240,5,20064
"H428.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",75,63,75,20064,"80","4/4","",1,240,5,20064
"H428.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",76,58,68,20064,"80","4/4","",1,240,5,20064
"H428.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",75,53,63,20064,"80","4/4","",1,240,5,20064
"H428.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",76,43,58,20064,"80","4/4","",1,240,5,20064
"H399.mid",0,"",-1,,"",0,,,6336,"100|100|100|100|100","6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4","",1,96,5,7065
"H399.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",72,61,77,7065,"100|100|100|100|100","6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4","",1,96,5,7065
"H399.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",72,58,71,7065,"100|100|100|100|100","6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4","",1,96,5,7065
"H399.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",76,49,61,7065,"100|100|100|100|100","6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4","",1,96,5,7065
"H399.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",74,42,58,7065,"100|100|100|100|100","6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4|6/4|4/4|2/4|6/4|10/4","",1,96,5,7065
"H398.mid",0,"",-1,,"",0,,,0,"140","4/4","",1,240,5,19104
"H398.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",43,64,74,19104,"140","4/4","",1,240,5,19104
"H398.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",44,59,69,19104,"140","4/4","",1,240,5,19104
"H398.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",43,52,66,19104,"140","4/4","",1,240,5,19104
"H398.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",45,45,59,19104,"140","4/4","",1,240,5,19104
"H429.mid",0,"",-1,,"",0,,,240,"69","1/4|4/4","",1,240,5,17424
"H429.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",76,60,76,17424,"69","1/4|4/4","",1,240,5,17424
"H429.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",73,59,71,17424,"69","1/4|4/4","",1,240,5,17424
"H429.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",74,48,65,17424,"69","1/4|4/4","",1,240,5,17424
"H429.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",73,41,57,17424,"69","1/4|4/4","",1,240,5,17424
"H401.mid",0,"",-1,,"",0,,,5760,"69|69|69|69|69","4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4","",1,96,5,6134
"H401.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",97,62,76,6134,"69|69|69|69|69","4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4","",1,96,5,6134
"H401.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",96,62,69,6134,"69|69|69|69|69","4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4","",1,96,5,6134
"H401.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",97,54,64,6134,"69|69|69|69|69","4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4","",1,96,5,6134
"H401.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",96,43,55,6134,"69|69|69|69|69","4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4|4/4|6/4","",1,96,5,6134
"H367.mid",0,"",-1,,"",0,,,0,"109","4/4","",1,240,5,22848
"H367.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",71,59,76,22848,"109","4/4","",1,240,5,22848
"H367.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",65,57,69,22848,"109","4/4","",1,240,5,22848
"H367.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",66,55,65,22848,"109","4/4","",1,240,5,22848
"H367.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",63,43,59,22848,"109","4/4","",1,240,5,22848
"H373.mid",0,"",-1,,"",0,,,2976,"80|80|80|80|80","1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4","",1,96,5,3235
"H373.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",36,60,74,3235,"80|80|80|80|80","1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4","",1,96,5,3235
"H373.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",36,57,67,3235,"80|80|80|80|80","1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4","",1,96,5,3235
"H373.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",36,52,62,3235,"80|80|80|80|80","1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4","",1,96,5,3235
"H373.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",36,41,55,3235,"80|80|80|80|80","1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4|1/4|2/4|3/4","",1,96,5,3235
